ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,NameInSource
Anuta,Tarangapaka-Anuta,anut1237,Anuta,aud,Papunesia,-11.61,169.85,Austronesian,Anuta_253
Raivavae,Reo Ra'ivavae,raiv1237,Raivavae,,Papunesia,,,Austronesian,Austral_1213
Rurutu,Reo Rurutu,ruru1237,Rurutu,,Papunesia,,,Austronesian,Austral_128
EastFutuna,Fakafutuna,east2447,East Futuna,fud,Papunesia,-14.278717,-178.137222,Austronesian,EastFutuna_210
Emae,Fakamae,emae1237,Emae,mmw,Papunesia,-17.052,168.399,Austronesian,Emae_1030
FutunaAniwa,Fesau Futuna,futu1245,Futuna-Aniwa,fut,Papunesia,-19.5303,170.215,Austronesian,FutunaAniwa_156
Hawaiian,'ōlelo Hawai'i,hawa1245,Hawaiian,haw,Papunesia,19.6297,-155.43,Austronesian,Hawaiian_52
Kapingamarangi,Kapingamarangi,kapi1249,Kapingamarangi,kpg,Papunesia,1.039166,154.797223,Austronesian,Kapingamarangi_217
Luangiua,Luangiua,onto1237,Luangiua,ojv,Papunesia,-5.49029,159.701,Austronesian,Luangiua_238
Mangareva,Reo Magareva,mang1401,Mangareva,mrv,Papunesia,-23.1095,-134.97,Austronesian,Mangareva_239
Maori,Reo Māori,maor1246,Maori,mri,Papunesia,-38.2881,176.541,Austronesian,Maori_85
MeleFila,Mele-Fila,mele1250,Mele-Fila,mxe,Papunesia,-17.6841,168.275,Austronesian,Mele-Fila_1163
Niuean,Vagahau Niue,niue1239,Niuean,niu,Papunesia,-19.06,-169.86,Austronesian,Niuean_247
NorthMarquesan,'eo 'enana,nort2845,North Marquesan,mrq,Papunesia,-8.89412,-140.108,Austronesian,NorthMarquesan_38
Nukeria,Nukeria,nuku1259,Nukuria,nur,Papunesia,-3.40038,154.731,Austronesian,Nukuria_1212
Penrhyn,Penrhyn,penr1237,Māngarongaro,pnh,Papunesia,-9.082238,-157.922908,Austronesian,Penrhyn_235
Polynesian,Proto Polynesian,poly1242,Polynesian,,,,,Austronesian,Polynesian_658
Pukapuka,Leo Pukapuka,puka1242,Pukapuka,pkp,Papunesia,-10.91,-165.83,Austronesian,Pukapuka_152
RakahangaManihiki,Manihiki,raka1237,Rakahanga-Manihiki,rkh,Papunesia,-10.03,-161.09,Austronesian,RakahangaManihiki_589
Rapanui,Rapanui,rapa1244,Rapanui,rap,Papunesia,-27.113,-109.342,Austronesian,Rapanui_264
Rarotongan,Reo Rarotongan,raro1241,Southern Cook Island Maori,rar,Papunesia,-21.23,-159.78,Austronesian,Rarotongan_58
RennellBellona,Rennell-Bellona,renn1242,Rennell-Bellona,mnv,Papunesia,-11.6237,160.265,Austronesian,RennellBellona_206
Samoan,Gagana Sāmoa,samo1305,Samoan,smo,Papunesia,-13.92,-171.83,Austronesian,Samoan_118
Sikaiana,Sikaiana,sika1261,Sikaiana,sky,Papunesia,-8.378194,162.72952,Austronesian,Sikaiana_243
Tahitian,Reo Tahiti,tahi1242,Tahitian,tah,Papunesia,-17.6485,-149.45,Austronesian,Tahitian_173
Tikopia,Fakatikopia,tiko1237,Tikopia,tkp,Papunesia,-12.2766,168.822,Austronesian,Tikopia_155
Tongan,Lea Fakatonga,tong1325,Tonga (Tonga Islands),ton,Papunesia,-21.17,-175.25,Austronesian,TongaTongaIslands_136
Tuamotuan,Reo o te Tuamotu,tuam1242,Tuamotuan,pmt,Papunesia,-16.17259,-146.321755,Austronesian,Tuamotuan_246
Tuvalu,Leo Tuvalu,tuva1244,Tuvalu,tvl,Papunesia,-8.520813,179.198088,Austronesian,Tuvalu_753
VaeakauTaumako,Vaeakau-Taumako,pile1238,Vaeakau-Taumako,piv,Papunesia,-10.173335,166.247188,Austronesian,VaeakauTaumako_375
EastUvea,Faka'uvea,wall1257,East Uvean,wls,Papunesia,-13.2903,-176.207,Austronesian,Wallisian_258
