ID,Name,Concepticon_ID,Concepticon_Gloss
1277,hand,1277,HAND
244,left,244,LEFT
1019,right,1019,RIGHT
2098,leg/foot,2098,FOOT OR LEG
1443,to walk,1443,WALK
2457,road/path,2457,PATH OR ROAD
1446,to come,1446,COME
1588,to turn,1588,TURN
1439,to swim,1439,SWIM
1230,dirty,1230,DIRTY
2,dust,2,DUST
763,skin,763,SKIN
1291,back,1291,BACK
1251,belly,1251,BELLY
1394,bone,1394,BONE
1991,intestines,1991,INTESTINES
1224,liver,1224,LIVER
1402,breast,1402,BREAST
1482,shoulder,1482,SHOULDER
1410,"to know, be knowledgeable",1410,KNOW (SOMETHING)
2271,to think,2271,THINK
1419,to fear,1419,FEAR (BE AFRAID)
946,blood,946,BLOOD
1256,head,1256,HEAD
1333,neck,1333,NECK
1040,hair,1040,HAIR
1221,nose,1221,NOSE
1407,to breathe,1407,BREATHE
1586,"to sniff, smell",1586,SMELL (PERCEIVE)
674,mouth,674,MOUTH
1380,tooth,1380,TOOTH
1205,tongue,1205,TONGUE
1355,to laugh,1355,LAUGH
1839,to cry,1839,CRY
1278,to vomit,1278,VOMIT
1440,to spit,1440,SPIT
1336,to eat,1336,EAT
321,to chew,321,CHEW
1100,to cook,1100,COOK (SOMETHING)
1401,to drink,1401,DRINK
1403,to bite,1403,BITE
1421,to suck,1421,SUCK
1247,ear,1247,EAR
1408,to hear,1408,HEAR
1248,eye,1248,EYE
1409,to see,1409,SEE
1028,to yawn,1028,YAWN
1585,to sleep,1585,SLEEP
215,to lie down,215,LIE DOWN
1920,to dream,1920,DREAM (SOMETHING)
1416,to sit,1416,SIT
1442,to stand,1442,STAND
683,person/human being,683,PERSON
2106,man/male,2106,MALE PERSON
2105,woman/female,2105,FEMALE PERSON
2099,child,2099,CHILD
1200,husband,1200,HUSBAND
1199,wife,1199,WIFE
1216,mother,1216,MOTHER
1217,father,1217,FATHER
1252,house,1252,HOUSE
2100,thatch/roof,2100,THATCH OR ROOF
1405,name,1405,NAME
1458,to say,1458,SAY
1218,rope,1218,ROPE
1094,"to tie up, fasten",1094,FASTEN
1457,to sew,1457,SEW
1382,needle,1382,NEEDLE (FOR SEWING)
1435,to hunt,1435,HUNT
1172,to shoot,1172,SHOOT
1434,"to stab, pierce",1434,STAB
353,to hit,353,STRIKE
713,to steal,713,STEAL
1417,to kill,1417,KILL
2101,"to die, be dead",2101,BE DEAD OR DIE
1422,"to live, be alive",1422,BE ALIVE
1436,to scratch,1436,SCRATCH
1432,"to cut, hack",1432,CUT
1295,stick/wood,1295,STICK
1437,to split,1437,SPLIT
1396,sharp,1396,SHARP
379,"dull, blunt",379,BLUNT
1086,to work,1086,WORK (ACTIVITY)
1486,to plant,1486,PLANT (SOMETHING)
1750,to choose,1750,CHOOSE
479,to grow,479,GROW
1573,to swell,1573,SWELL
1414,to squeeze,1414,SQUEEZE
1448,to hold,1448,HOLD
1418,to dig,1418,DIG
1869,to buy,1869,BUY
1156,"to open, uncover",1156,OPEN
354,"to pound, beat",354,POUND
1456,to throw,1456,THROW
1280,to fall,1280,FALL
2009,dog,2009,DOG
937,bird,937,BIRD
744,egg,744,EGG
1201,feather,1201,FEATHER
1257,wing,1257,WING
1441,to fly,1441,FLY (MOVE THROUGH AIR)
1490,rat,1490,RAT
