ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
VaeakauTaumako-210_onethousand-1,,VaeakauTaumako,210_onethousand,tupuangahulu,tupuangahulu,t u p u a + ŋ a h u l u,,Hovdhaugen-375-2009,5,false,,
VaeakauTaumako-209_onehundred-1,,VaeakauTaumako,209_onehundred,vahiki,vahiki,v a h i k i,,Hovdhaugen-375-2009,518,false,,
VaeakauTaumako-208_fifty-1,,VaeakauTaumako,208_fifty,gatoaelima,gatoaelima,g a + t o a + e + l i m a,,Hovdhaugen-375-2009,664,false,,
VaeakauTaumako-207_twenty-1,,VaeakauTaumako,207_twenty,gatoaelua,gatoaelua,g a t o a e + l u a,,Hovdhaugen-375-2009,947,false,,
VaeakauTaumako-206_ten-1,,VaeakauTaumako,206_ten,dumaa,dumaa,d u m aː,,Hovdhaugen-375-2009,946,false,,
VaeakauTaumako-206_ten-2,,VaeakauTaumako,206_ten,katoa,katoa,k a t o a,,Hovdhaugen-375-2009,114,false,,
VaeakauTaumako-205_nine-1,,VaeakauTaumako,205_nine,iva,iva,i v a,,Hovdhaugen-375-2009,945,false,,
VaeakauTaumako-204_eight-1,,VaeakauTaumako,204_eight,valu,valu,v a l u,,Hovdhaugen-375-2009,663,false,,
VaeakauTaumako-203_seven-1,,VaeakauTaumako,203_seven,hitu,hitu,h i t u,,Hovdhaugen-375-2009,6,false,,
VaeakauTaumako-202_six-1,,VaeakauTaumako,202_six,ono,ono,o n o,,Hovdhaugen-375-2009,7,false,,
VaeakauTaumako-201_five-1,,VaeakauTaumako,201_five,lima,lima,l i m a,,Hovdhaugen-375-2009,2,false,,
VaeakauTaumako-200_four-1,,VaeakauTaumako,200_four,haa,haa,h aː,,Hovdhaugen-375-2009,3,false,,
VaeakauTaumako-199_three-1,,VaeakauTaumako,199_three,tolu,tolu,t o l u,,Hovdhaugen-375-2009,8,false,,
VaeakauTaumako-198_two-1,,VaeakauTaumako,198_two,lua,lua,l u a,,Hovdhaugen-375-2009,9,false,,
VaeakauTaumako-197_one-1,,VaeakauTaumako,197_one,kotahi,kotahi,k o + t a h i,,Hovdhaugen-375-2009,335,false,,
VaeakauTaumako-196_tocount-1,,VaeakauTaumako,196_tocount,phaua,phaua,p h a u a,,Hovdhaugen-375-2009,1330,false,,
VaeakauTaumako-195_nonot-1,,VaeakauTaumako,195_nonot,siai,siai,s i + a i,,Hovdhaugen-375-2009,129,false,,
VaeakauTaumako-194_how-1,,VaeakauTaumako,194_how,huahea,huahea,h u a + h e a,,Hovdhaugen-375-2009,194,false,,
VaeakauTaumako-193_if-1,,VaeakauTaumako,193_if,plā,plā,p l aː,if,Hovdhaugen-375-2009,476,false,,
VaeakauTaumako-192_and-1,,VaeakauTaumako,192_and,ia,ia,i a,,Hovdhaugen-375-2009,538,false,,
VaeakauTaumako-192_and-2,,VaeakauTaumako,192_and,ma,ma,m a,,Hovdhaugen-375-2009,520,false,,
VaeakauTaumako-192_and-3,,VaeakauTaumako,192_and,ioko,ioko,i o k o,,Hovdhaugen-375-2009,1447,false,,
VaeakauTaumako-192_and-4,,VaeakauTaumako,192_and,o,o,o,,Hovdhaugen-375-2009,1383,false,,
VaeakauTaumako-191_all-1,,VaeakauTaumako,191_all,katoa,katoa,k a + t o a,,Hovdhaugen-375-2009,293,false,,
VaeakauTaumako-190_other-1,,VaeakauTaumako,190_other,haila,haila,h a i l a,,Hovdhaugen-375-2009,614,false,,
VaeakauTaumako-189_who-1,,VaeakauTaumako,189_who,ai,ai,a i,,Hovdhaugen-375-2009,106,false,,
VaeakauTaumako-188_what-1,,VaeakauTaumako,188_what,aa,aa,aː,,Hovdhaugen-375-2009,104,false,,
VaeakauTaumako-187_they-1,,VaeakauTaumako,187_they,lhatou,lhatou,lʰ a + t o u,,Hovdhaugen-375-2009,73,false,,
VaeakauTaumako-187_they-2,,VaeakauTaumako,187_they,lhaua,lhaua,lʰ a + u a,,Hovdhaugen-375-2009,1469,false,,
VaeakauTaumako-186_you-1,,VaeakauTaumako,186_you,koutou,koutou,k o u + t o u,,Hovdhaugen-375-2009,407,false,,
VaeakauTaumako-186_you-2,,VaeakauTaumako,186_you,koulua,koulua,k o u + l u a,,Hovdhaugen-375-2009,1477,false,,
VaeakauTaumako-185_we-1,,VaeakauTaumako,185_we,thatou,thatou,tʰ a + t o u,1 pl. incl.,Hovdhaugen-375-2009,103,false,,
VaeakauTaumako-185_we-2,,VaeakauTaumako,185_we,thaua,thaua,tʰ a + u a,,Hovdhaugen-375-2009,103,false,,
VaeakauTaumako-185_we-3,,VaeakauTaumako,185_we,mhatou,mhatou,m h a + t o u,,Hovdhaugen-375-2009,537,false,,
VaeakauTaumako-185_we-4,,VaeakauTaumako,185_we,mhaua,mhaua,m h a + u a,,Hovdhaugen-375-2009,537,false,,
VaeakauTaumako-184_heshe-1,,VaeakauTaumako,184_heshe,na,na,n a,,Hovdhaugen-375-2009,954,false,,
VaeakauTaumako-184_heshe-2,,VaeakauTaumako,184_heshe,ia,ia,i a,,Hovdhaugen-375-2009,37,false,,
VaeakauTaumako-183_thou-1,,VaeakauTaumako,183_thou,koe,koe,k o e,,Hovdhaugen-375-2009,76,false,,
VaeakauTaumako-182_i-1,,VaeakauTaumako,182_i,au,au,a u,,Hovdhaugen-375-2009,4,false,,
VaeakauTaumako-181_where-1,,VaeakauTaumako,181_where,i hea,i hea,i + h e a,,Hovdhaugen-375-2009,679,false,,
VaeakauTaumako-180_far-1,,VaeakauTaumako,180_far,mao,mao,m a o,,Hovdhaugen-375-2009,297,false,,
VaeakauTaumako-179_near-1,,VaeakauTaumako,179_near,leuethaki,leuethaki,l e u e + tʰ a k i,,Hovdhaugen-375-2009,863,false,,
VaeakauTaumako-178_that-1,,VaeakauTaumako,178_that,tena,tena,t e + n a,,Hovdhaugen-375-2009,71,false,,
VaeakauTaumako-177_this-1,,VaeakauTaumako,177_this,tene,tene,t e + n e,,Hovdhaugen-375-2009,1224,false,,
VaeakauTaumako-177_this-2,,VaeakauTaumako,177_this,ne,ne,n e,,Hovdhaugen-375-2009,75,false,,
VaeakauTaumako-176_below-1,,VaeakauTaumako,176_below,lalo,lalo,l a l o,,Hovdhaugen-375-2009,1315,false,,
VaeakauTaumako-175_above-1,,VaeakauTaumako,175_above,lunga,lunga,l u ŋ a,,Hovdhaugen-375-2009,1382,false,,
VaeakauTaumako-173_at-1,,VaeakauTaumako,173_at,i,i,i,,Hovdhaugen-375-2009,11,false,,
VaeakauTaumako-172_toclimb-1,,VaeakauTaumako,172_toclimb,kake,kake,k a k e,,Hovdhaugen-375-2009,707,false,,
VaeakauTaumako-171_tohide-1,,VaeakauTaumako,171_tohide,muni,muni,m u n i,,Hovdhaugen-375-2009,91,false,,
VaeakauTaumako-170_when-1,,VaeakauTaumako,170_when,anahea,anahea,a n a + h e a,past,Hovdhaugen-375-2009,970,false,,
VaeakauTaumako-169_year-1,,VaeakauTaumako,169_year,ngatae,ngatae,ŋ a t a e,,Hovdhaugen-375-2009,1004,false,,
VaeakauTaumako-168_day-1,,VaeakauTaumako,168_day,langi,langi,l a ŋ i,,Hovdhaugen-375-2009,1087,false,,
VaeakauTaumako-167_night-1,,VaeakauTaumako,167_night,poo,poo,p oː,,Hovdhaugen-375-2009,54,false,,
VaeakauTaumako-166_correcttrue-1,,VaeakauTaumako,166_correcttrue,thonu,thonu,tʰ o n u,,Hovdhaugen-375-2009,1317,false,,
VaeakauTaumako-166_correcttrue-2,,VaeakauTaumako,166_correcttrue,maoli,maoli,m a o l i,,Hovdhaugen-375-2009,1043,false,,
VaeakauTaumako-165_badevil-1,,VaeakauTaumako,165_badevil,thapeo,thapeo,tʰ a p e o,,Hovdhaugen-375-2009,1061,false,,
VaeakauTaumako-164_good-1,,VaeakauTaumako,164_good,lavoi,lavoi,l a v o i,,Hovdhaugen-375-2009,1068,false,,
VaeakauTaumako-163_new-1,,VaeakauTaumako,163_new,hou,hou,h o u,,Hovdhaugen-375-2009,53,false,,
VaeakauTaumako-162_old-1,,VaeakauTaumako,162_old,mathua,mathua,m a tʰ u a,,Hovdhaugen-375-2009,56,false,,
VaeakauTaumako-161_shyashamed-1,,VaeakauTaumako,161_shyashamed,maa,maa,m aː,,Hovdhaugen-375-2009,64,false,,
VaeakauTaumako-160_painfulsick-1,,VaeakauTaumako,160_painfulsick,maki,maki,m a k i,,Hovdhaugen-375-2009,57,false,,
VaeakauTaumako-159_wide-1,,VaeakauTaumako,159_wide,laueha,laueha,l a u + e h a,,Hovdhaugen-375-2009,1420,false,,
VaeakauTaumako-158_narrow-1,,VaeakauTaumako,158_narrow,mdakiko,mdakiko,m d a + k i k o,,Hovdhaugen-375-2009,1159,false,,
VaeakauTaumako-158_narrow-2,,VaeakauTaumako,158_narrow,mdaliki,mdaliki,m d a + l i k i,,Hovdhaugen-375-2009,1355,false,,
VaeakauTaumako-157_thick-1,,VaeakauTaumako,157_thick,eha,eha,e h a,,Hovdhaugen-375-2009,1184,false,,
VaeakauTaumako-156_thin-1,,VaeakauTaumako,156_thin,manihi,manihi,m a + n i h i,,Hovdhaugen-375-2009,74,false,,
VaeakauTaumako-155_long-1,,VaeakauTaumako,155_long,loa,loa,l o a,,Hovdhaugen-375-2009,245,false,,
VaeakauTaumako-154_short-1,,VaeakauTaumako,154_short,popoto,popoto,p o + p o t o,,Hovdhaugen-375-2009,1397,false,,
VaeakauTaumako-153_big-1,,VaeakauTaumako,153_big,thuabe,thuabe,tʰ u a b e,,Hovdhaugen-375-2009,1249,false,,
VaeakauTaumako-152_small-1,,VaeakauTaumako,152_small,kiko,kiko,k i k o,,Hovdhaugen-375-2009,1253,false,,
VaeakauTaumako-152_small-2,,VaeakauTaumako,152_small,likiliki,likiliki,l i k i + l i k i,,Hovdhaugen-375-2009,1171,false,,
VaeakauTaumako-151_green-1,,VaeakauTaumako,151_green,uiui,uiui,u i + u i,green,Hovdhaugen-375-2009,1122,false,,
VaeakauTaumako-150_yellow-1,,VaeakauTaumako,150_yellow,helo,helo,h e l o,,Hovdhaugen-375-2009,218,false,,
VaeakauTaumako-149_red-1,,VaeakauTaumako,149_red,mea,mea,m e a,,Hovdhaugen-375-2009,60,false,,
VaeakauTaumako-148_white-1,,VaeakauTaumako,148_white,thea,thea,tʰ e a,,Hovdhaugen-375-2009,1342,false,,
VaeakauTaumako-147_black-1,,VaeakauTaumako,147_black,uli,uli,u l i,,Hovdhaugen-375-2009,1209,false,,
VaeakauTaumako-146_ashes-1,,VaeakauTaumako,146_ashes,lehu,lehu,l e h u,,Hovdhaugen-375-2009,1183,false,,
VaeakauTaumako-145_smoke-1,,VaeakauTaumako,145_smoke,kohu,kohu,k o h u,,Hovdhaugen-375-2009,307,false,,
VaeakauTaumako-144_toburn-1,,VaeakauTaumako,144_toburn,ula,ula,u l a,,Hovdhaugen-375-2009,1137,false,,
VaeakauTaumako-144_toburn-2,,VaeakauTaumako,144_toburn,khaa,khaa,k h aː,,Hovdhaugen-375-2009,1125,false,,
VaeakauTaumako-143_fire-1,,VaeakauTaumako,143_fire,keu,keu,k e u,,Hovdhaugen-375-2009,1351,false,,
VaeakauTaumako-142_heavy-1,,VaeakauTaumako,142_heavy,maha,maha,m a h a,,Hovdhaugen-375-2009,911,false,,
VaeakauTaumako-141_wet-1,,VaeakauTaumako,141_wet,siu,siu,s i u,,Hovdhaugen-375-2009,216,false,,
VaeakauTaumako-140_dry-1,,VaeakauTaumako,140_dry,mathuu,mathuu,m a tʰ uː,,Hovdhaugen-375-2009,1169,false,,
VaeakauTaumako-140_dry-2,,VaeakauTaumako,140_dry,mangoa,mangoa,m a ŋ o a,,Hovdhaugen-375-2009,19,false,,
VaeakauTaumako-139_cold-1,,VaeakauTaumako,139_cold,maliki,maliki,m a + l i k i,,Hovdhaugen-375-2009,17,false,,
VaeakauTaumako-138_warm-1,,VaeakauTaumako,138_warm,mahana,mahana,m a + h a n a,,Hovdhaugen-375-2009,102,false,,
VaeakauTaumako-137_toblow-1,,VaeakauTaumako,137_toblow,vengia,vengia,v e ŋ i a,(wind),Hovdhaugen-375-2009,1325,false,,
VaeakauTaumako-136_wind-1,,VaeakauTaumako,136_wind,matangi,matangi,m a t a ŋ i,,Hovdhaugen-375-2009,108,false,,
VaeakauTaumako-135_lightning-1,,VaeakauTaumako,135_lightning,khemo,khemo,k h e m o,lightning,Hovdhaugen-375-2009,748,false,,
VaeakauTaumako-134_thunder-1,,VaeakauTaumako,134_thunder,pasili,pasili,p a + s i l i,,Hovdhaugen-375-2009,349,false,,
VaeakauTaumako-133_rain-1,,VaeakauTaumako,133_rain,ua,ua,u a,,Hovdhaugen-375-2009,59,false,,
VaeakauTaumako-132_fog-1,,VaeakauTaumako,132_fog,nehu,nehu,n e h u,,Hovdhaugen-375-2009,574,false,,
VaeakauTaumako-131_cloud-1,,VaeakauTaumako,131_cloud,meluao,meluao,m e l u + a o,,Hovdhaugen-375-2009,239,false,,
VaeakauTaumako-130_star-1,,VaeakauTaumako,130_star,hetuu,hetuu,h e t uː,,Hovdhaugen-375-2009,68,false,,
