ID	DOCULECT	DOCULECT_NAME_IN_SOURCE	CONCEPT	GLOTTOCODE	VALUE	CONCEPTICON_ID	LANGID	GLOSSID	ISO	SOURCE	COMMENT	COGNACY	LOAN	LEXIBANK_ID	FORM	SEGMENTS	BVD_ID	VARIANTS	COG	COGID	CVCV	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	MORPHEMES
8	VaeakauTaumako_375	Vaeakau-Taumako	Eight	pile1238	valu	1705	375	204	piv	Hovdhaugen-375-2009		3	False	abvd-abvd-375-255	valu	v a l u	89600		3---Eight	663	cvcv	3 7 5 7	AXBZ	BALY	375.B.C 375.A.V 375.L.C 375.Y.V	2.0 1.5 1.75 0.8	valu	0	1	v a l u	?
251	Wallisian_258	Uvea, East	Eight	wall1257	valu	1705	258	204	wls	POLLEX	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-258-289	valu	v a l u	90435		3---Eight	663	cvcv	3 7 5 7	AXBZ	BALY	258.B.C 258.A.V 258.L.C 258.Y.V	2.0 1.5 1.75 0.8	valu	0	1	v a l u	?
725	Maori_85	Maori	Eight	maor1246	waru	1705	85	204	mri	Biggs-85-2005		3	False	abvd-abvd-85-222	waru	w a r u	87872		3---Eight	663	cvcv	6 7 5 7	AXBZ	WARY	85.W.C 85.A.V 85.R.C 85.Y.V	2.0 1.5 1.75 0.8	waru	0	1	w a r u	?
949	Kapingamarangi_217	Kapingamarangi	Eight	kapi1249	walu	1705	217	204	kpg	POLLEX	Pollex 06: Walu. :Eight (Lbr).	3	False	abvd-abvd-217-272	walu	w a l u	90454	waru	3---Eight	663	cvcv	6 7 5 7	AXBZ	WALY	217.W.C 217.A.V 217.L.C 217.Y.V	2.0 1.5 1.75 0.8	walu	0	1	w a l u	?
1169	Tahitian_173	Tahitian (Modern)	Eight	tahi1242	va'u	1705	173	204	tah	Clark-173-2005		3	False	abvd-abvd-173-239	va'u	v a ʔ u	102829	varu	3---Eight	663	cvcv	3 7 1 7	AXBZ	BAHY	173.B.C 173.A.V 173.H.C 173.Y.V	2.0 1.5 1.75 0.8	vaʔu	0	1	v a ʔ u	?
1401	Emae_1030	Emae (Makatea)	Eight	emae1237	βaru	1705	1030	204	mmw	52375		3	False	abvd-abvd-1030-190	βaru	β a r u	265923		3---Eight	663	cvcv	3 7 5 7	AXBZ	BARY	1030.B.C 1030.A.V 1030.R.C 1030.Y.V	2.0 1.5 1.75 0.8	βaru	0	1	β a r u	?
1595	Rapanui_264	Rapanui (Easter Island)	Eight	rapa1244	va'u	1705	264	204	rap	POLLEX		3	False	abvd-abvd-264-317	va'u	v a ʔ u	130627		3---Eight	663	cvcv	3 7 1 7	AXBZ	BAHY	264.B.C 264.A.V 264.H.C 264.Y.V	2.0 1.5 1.75 0.8	vaʔu	0	1	v a ʔ u	?
1853	Mangareva_239	Mangareva	Eight	mang1401	varu	1705	239	204	mrv	POLLEX		3	False	abvd-abvd-239-362	varu	v a r u	321427		3---Eight	663	cvcv	3 7 5 7	AXBZ	BARY	239.B.C 239.A.V 239.R.C 239.Y.V	2.0 1.5 1.75 0.8	varu	0	1	v a r u	?
2114	Luangiua_238	Luangiua	Eight	onto1237	valu	1705	238	204	ojv	POLLEX	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-238-225	valu	v a l u	90541		3---Eight	663	cvcv	3 7 5 7	AXBZ	BALY	238.B.C 238.A.V 238.L.C 238.Y.V	2.0 1.5 1.75 0.8	valu	0	1	v a l u	?
2336	TongaTongaIslands_136	Tongan	Eight	tong1325	valu	1705	136	204	ton	117207	Pollex 06: Valu. :Eight.	3	False	abvd-abvd-136-219	valu	v a l u	90658		3---Eight	663	cvcv	3 7 5 7	AXBZ	BALY	136.B.C 136.A.V 136.L.C 136.Y.V	2.0 1.5 1.75 0.8	valu	0	1	v a l u	?
